,ts_code,trade_date,close,open,high,low,vol,amount
223,000001.SH,20010119,2065.606,2077.076,2131.98,2007.706,18268580900.0,181074394390.0
222,000001.SH,20010228,1959.18,2069.856,2072.547,1893.783,12508196700.0,116878321610.0
221,000001.SH,20010330,2112.775,1959.009,2112.879,1953.721,35065340400.0,281488508770.0
220,000001.SH,20010430,2119.184,2117.45,2179.741,2081.644,44553979500.0,338558690000.0
219,000001.SH,20010531,2214.257,2119.898,2222.651,2119.894,33231868200.0,283418653130.0
218,000001.SH,20010629,2218.029,2216.56,2245.435,2157.122,32190176500.0,309387146260.0
217,000001.SH,20010731,1920.318,2220.419,2223.207,1909.297,23007781400.0,196849742550.0
216,000001.SH,20010831,1834.138,1925.239,1990.699,1795.567,21488257500.0,167636367850.0
215,000001.SH,20010928,1764.867,1831.703,1888.901,1750.764,18242411800.0,118863608780.0
214,000001.SH,20011031,1689.17,1766.133,1773.798,1514.862,20515480600.0,133580979090.0
213,000001.SH,20011130,1747.993,1692.351,1748.0,1550.465,20739700700.0,143742654130.0
212,000001.SH,20011231,1645.971,1751.051,1776.019,1593.026,17202970200.0,135036525670.0
211,000001.SH,20020131,1491.665,1643.485,1643.5,1339.2,19603400500.0,131840553150.0
210,000001.SH,20020228,1524.701,1494.577,1544.921,1476.133,11910210000.0,82617571270.0
209,000001.SH,20020329,1603.905,1521.528,1693.873,1494.834,38096706600.0,289090556260.0
208,000001.SH,20020430,1667.749,1598.026,1680.298,1575.972,22582960100.0,184107535350.0
207,000001.SH,20020531,1515.733,1669.871,1670.917,1506.542,12801790000.0,109693882210.0
206,000001.SH,20020628,1732.755,1510.247,1748.89,1455.305,34887750300.0,246000520640.0
205,000001.SH,20020731,1651.594,1736.293,1741.918,1647.265,24156900000.0,202496317530.0
204,000001.SH,20020830,1666.618,1650.054,1696.277,1624.049,13655652900.0,114071732240.0
203,000001.SH,20020927,1581.618,1666.341,1680.279,1577.53,11094500000.0,86371998480.0
202,000001.SH,20021031,1507.496,1577.052,1577.052,1488.679,12315420200.0,75239629080.0
201,000001.SH,20021129,1434.182,1507.383,1573.104,1353.139,18064250300.0,120814253790.0
200,000001.SH,20021231,1357.654,1432.029,1439.85,1348.714,15741080100.0,108861055020.0
199,000001.SH,20030129,1499.815,1347.433,1508.588,1311.684,31884221700.0,195592849710.0
198,000001.SH,20030228,1511.932,1499.166,1524.751,1474.471,14764129800.0,103491797220.0
197,000001.SH,20030331,1510.578,1511.585,1529.752,1447.014,17724195600.0,132802564100.0
196,000001.SH,20030430,1521.444,1513.001,1649.603,1473.266,54257118600.0,375857061900.0
195,000001.SH,20030530,1576.261,1522.981,1581.612,1477.252,26593163200.0,194373542510.0
194,000001.SH,20030630,1486.024,1577.987,1582.412,1483.686,24073813400.0,159559025370.0
193,000001.SH,20030731,1476.742,1485.521,1540.194,1464.866,21092992700.0,151572138790.0
192,000001.SH,20030829,1421.983,1476.47,1497.102,1406.681,12985648000.0,95330707840.0
191,000001.SH,20030930,1367.161,1423.353,1456.553,1348.222,15524801100.0,114426156910.0
190,000001.SH,20031031,1348.303,1366.201,1411.88,1334.784,16445321500.0,106684902220.0
189,000001.SH,20031128,1397.225,1346.481,1423.582,1307.395,30961748600.0,188745041280.0
188,000001.SH,20031231,1497.044,1398.706,1525.299,1398.706,46792438600.0,297455054390.0
187,000001.SH,20040130,1590.729,1492.724,1634.413,1491.694,35695801000.0,251050325000.0
186,000001.SH,20040227,1675.067,1630.654,1730.279,1585.958,59581950000.0,452388305000.0
185,000001.SH,20040331,1741.623,1676.222,1760.076,1634.71,46834143800.0,356722553750.0
184,000001.SH,20040430,1595.587,1744.709,1783.007,1572.23,40425196800.0,325762376260.0
183,000001.SH,20040531,1555.906,1600.626,1606.072,1508.645,16105513600.0,115192083780.0
182,000001.SH,20040630,1399.162,1555.562,1580.57,1376.218,23725377900.0,169957988790.0
181,000001.SH,20040730,1386.202,1398.198,1466.784,1366.503,24083113500.0,155337135370.0
180,000001.SH,20040831,1342.062,1381.877,1424.553,1310.024,19077384300.0,114801915970.0
