,ts_code,trade_date,close,open,high,low,vol,amount
947,000001.SH,20010105,2125.3,2077.076,2127.419,2074.882,6252013300.0,62783256250.0
946,000001.SH,20010112,2104.747,2128.602,2131.98,2082.841,6408639700.0,68259918750.0
945,000001.SH,20010119,2065.606,2097.091,2097.092,2007.706,5607927900.0,50031219390.0
944,000001.SH,20010209,1956.97,2069.856,2072.547,1926.4,4450765500.0,37963000020.0
943,000001.SH,20010216,1941.964,1958.655,1973.999,1911.871,2824570800.0,27188930940.0
942,000001.SH,20010223,1936.346,1942.579,1980.386,1893.783,3116430800.0,30826709390.0
941,000001.SH,20010302,1985.111,1940.77,1987.389,1935.547,4799524300.0,38349240020.0
940,000001.SH,20010309,2011.66,1991.28,2015.503,1977.111,7260993100.0,55752624380.0
939,000001.SH,20010316,2020.236,2013.312,2027.333,1992.171,6282000600.0,53808060630.0
938,000001.SH,20010323,2053.539,2019.851,2093.949,2017.491,9380408200.0,75866516250.0
937,000001.SH,20010330,2112.775,2052.055,2112.879,2052.055,9458843800.0,78611748750.0
936,000001.SH,20010406,2108.606,2117.45,2129.829,2081.644,12551038800.0,74170287500.0
935,000001.SH,20010413,2145.4,2108.969,2145.437,2100.972,9921164900.0,69275098750.0
934,000001.SH,20010420,2152.335,2150.292,2179.741,2148.308,12945703000.0,106529577500.0
933,000001.SH,20010427,2115.109,2150.341,2170.387,2102.825,8044894600.0,77724730000.0
932,000001.SH,20010430,2119.184,2117.168,2122.503,2111.952,1091178200.0,10858996250.0
931,000001.SH,20010511,2155.405,2119.898,2155.422,2119.894,4185642500.0,42486326880.0
930,000001.SH,20010518,2203.372,2161.614,2205.013,2160.123,12877110000.0,93490501250.0
929,000001.SH,20010525,2193.576,2207.781,2218.445,2175.277,9708048600.0,85338167500.0
928,000001.SH,20010601,2219.591,2194.453,2223.264,2171.682,8241647900.0,80221326250.0
927,000001.SH,20010608,2223.068,2223.911,2242.691,2211.75,9708222200.0,85687830000.0
926,000001.SH,20010615,2210.97,2223.795,2245.435,2188.25,7564546300.0,80034962500.0
925,000001.SH,20010622,2206.067,2211.892,2214.105,2157.122,5769424200.0,55981195010.0
924,000001.SH,20010629,2218.029,2210.069,2237.523,2210.041,7367403000.0,69565490000.0
923,000001.SH,20010706,2170.521,2220.419,2223.207,2168.78,7036149100.0,47578095020.0
922,000001.SH,20010713,2161.34,2169.467,2192.523,2153.68,3897383400.0,37780905010.0
921,000001.SH,20010720,2179.624,2176.337,2183.517,2121.284,4704254700.0,45186873130.0
920,000001.SH,20010727,2065.728,2183.743,2185.855,2063.89,4960953700.0,46740281260.0
919,000001.SH,20010803,1958.692,2056.763,2056.773,1909.297,5440427400.0,43361231890.0
918,000001.SH,20010810,1955.036,1953.412,1956.397,1861.779,6273591200.0,45261773750.0
917,000001.SH,20010817,1924.003,1956.925,1963.138,1909.673,3792250800.0,31404243130.0
916,000001.SH,20010824,1886.8,1923.099,1947.403,1869.492,4194585100.0,35048050630.0
915,000001.SH,20010831,1834.138,1881.309,1881.309,1795.567,4196443500.0,32124656580.0
914,000001.SH,20010907,1808.844,1831.703,1888.901,1807.141,5150957700.0,34348193450.0
913,000001.SH,20010914,1818.382,1790.21,1871.13,1774.832,5310089700.0,37182253760.0
912,000001.SH,20010921,1807.019,1811.904,1836.786,1780.046,4415122900.0,27412978760.0
911,000001.SH,20010928,1764.867,1804.887,1813.307,1750.764,3366241500.0,19920182810.0
910,000001.SH,20011012,1691.326,1766.133,1773.798,1598.793,3854382400.0,25948859070.0
909,000001.SH,20011019,1572.453,1692.173,1703.588,1550.912,3605628200.0,23455456260.0
908,000001.SH,20011026,1677.878,1558.468,1744.923,1514.862,10300321200.0,67208890940.0
907,000001.SH,20011102,1691.351,1678.725,1717.736,1655.886,4672444100.0,29535554700.0
906,000001.SH,20011109,1630.359,1687.84,1688.309,1550.465,4621385300.0,27456222820.0
905,000001.SH,20011116,1646.763,1631.799,1734.673,1598.112,3852780100.0,27795431890.0
904,000001.SH,20011123,1712.564,1645.092,1721.968,1644.816,5173120000.0,38995998770.0
903,000001.SH,20011130,1747.993,1710.132,1748.0,1695.996,5175120000.0,36927218770.0
902,000001.SH,20011207,1745.407,1751.051,1776.019,1737.063,5408190000.0,45491755630.0
901,000001.SH,20011214,1675.514,1743.625,1748.975,1673.324,4067030100.0,30621082520.0
900,000001.SH,20011221,1640.142,1673.242,1693.181,1624.496,3209540100.0,25727609390.0
899,000001.SH,20011228,1639.484,1639.522,1644.409,1593.026,3454980000.0,26842157500.0
898,000001.SH,20020104,1611.393,1641.428,1649.8,1608.829,1589760000.0,9836524690.0
897,000001.SH,20020111,1535.593,1605.741,1607.722,1523.663,3598500200.0,22561137820.0
896,000001.SH,20020118,1415.438,1519.932,1519.932,1376.888,4122160100.0,29150552820.0
895,000001.SH,20020125,1451.484,1406.997,1478.54,1346.173,5614430000.0,38846280630.0
894,000001.SH,20020201,1485.77,1444.501,1507.639,1339.2,7558470200.0,50816377820.0
893,000001.SH,20020208,1506.615,1485.676,1530.126,1476.133,5961800000.0,41161733140.0
892,000001.SH,20020301,1502.54,1540.493,1544.921,1501.556,4861540100.0,33962856260.0
891,000001.SH,20020308,1640.256,1497.827,1645.292,1494.834,10244380000.0,74749375630.0
890,000001.SH,20020315,1620.976,1643.59,1676.506,1620.562,12091660000.0,87535576250.0
889,000001.SH,20020322,1669.694,1641.429,1693.873,1610.993,9170026600.0,72381337500.0
888,000001.SH,20020329,1603.905,1667.853,1677.045,1596.254,5860819900.0,48900848750.0
887,000001.SH,20020405,1634.643,1598.026,1657.094,1575.972,5555080000.0,41491046880.0
886,000001.SH,20020412,1658.979,1633.831,1680.298,1631.067,6409300000.0,55331661260.0
885,000001.SH,20020419,1635.172,1660.572,1664.524,1603.956,4729370000.0,36603023140.0
884,000001.SH,20020426,1640.589,1633.642,1643.153,1603.637,3487980100.0,28743759070.0
883,000001.SH,20020430,1667.749,1643.549,1673.75,1640.559,2401230000.0,21938045000.0
882,000001.SH,20020510,1638.198,1669.871,1670.917,1636.86,1887130000.0,17792564380.0
881,000001.SH,20020517,1567.497,1634.901,1634.916,1540.576,3987660000.0,35641479390.0
880,000001.SH,20020524,1549.466,1564.968,1599.113,1529.348,4173800000.0,33779467190.0
879,000001.SH,20020531,1515.733,1555.042,1569.411,1506.542,2753200000.0,22480371250.0
878,000001.SH,20020607,1529.507,1510.247,1540.825,1455.305,3960300200.0,31749885320.0
877,000001.SH,20020614,1493.244,1529.336,1534.377,1493.244,3425630100.0,21294475320.0
876,000001.SH,20020621,1562.722,1489.135,1564.922,1481.246,4093000000.0,27675226250.0
875,000001.SH,20020628,1732.755,1704.698,1748.89,1647.498,23408820000.0,165280933750.0
874,000001.SH,20020705,1722.188,1736.293,1740.381,1698.832,8275320000.0,65509317500.0
873,000001.SH,20020712,1698.298,1723.579,1741.918,1689.223,5991380000.0,52074853130.0
872,000001.SH,20020719,1713.861,1696.808,1714.09,1680.199,4263760000.0,37367255020.0
871,000001.SH,20020726,1657.499,1712.018,1712.326,1656.823,3622700000.0,30868014070.0
870,000001.SH,20020802,1661.871,1654.925,1672.12,1639.225,3128620000.0,25677496560.0
869,000001.SH,20020809,1647.046,1661.404,1679.811,1642.771,2729780000.0,23485474700.0
868,000001.SH,20020816,1646.792,1642.477,1652.98,1624.049,2527370000.0,19834477510.0
867,000001.SH,20020823,1683.207,1645.931,1696.277,1641.403,4143180000.0,33512798450.0
866,000001.SH,20020830,1666.618,1682.136,1683.505,1664.822,3130442900.0,28238362830.0
865,000001.SH,20020906,1631.384,1666.341,1680.279,1629.928,3115420000.0,24336644380.0
864,000001.SH,20020913,1625.759,1628.452,1631.665,1605.977,2718620000.0,20043632520.0
863,000001.SH,20020920,1604.913,1624.133,1624.137,1585.068,2835680000.0,22769385000.0
862,000001.SH,20020927,1581.618,1602.276,1604.295,1577.53,2424780000.0,19222336580.0
861,000001.SH,20021011,1524.051,1577.052,1577.052,1521.911,3804670000.0,19141494700.0
860,000001.SH,20021018,1519.539,1522.872,1548.525,1500.543,2784670100.0,18520293750.0
859,000001.SH,20021025,1520.313,1519.205,1553.865,1512.327,2810280000.0,21665482500.0
858,000001.SH,20021101,1510.76,1518.086,1521.871,1488.679,3526500200.0,19280566880.0
857,000001.SH,20021108,1522.187,1516.22,1573.104,1515.072,5120540100.0,35184596880.0
856,000001.SH,20021115,1463.691,1519.603,1526.132,1451.392,3722520000.0,26232509400.0
855,000001.SH,20021122,1395.497,1463.724,1468.325,1375.539,3406710000.0,23645495630.0
854,000001.SH,20021129,1434.182,1393.341,1450.187,1353.139,5203780100.0,32383443130.0
853,000001.SH,20021206,1405.525,1432.029,1432.898,1388.513,3434900000.0,24165388120.0
852,000001.SH,20021213,1396.898,1404.513,1410.794,1367.312,2878670100.0,19661653440.0
851,000001.SH,20021220,1427.936,1397.721,1431.364,1392.888,3439380000.0,25219562510.0
850,000001.SH,20021227,1382.971,1429.951,1439.85,1367.852,4219730000.0,28267655320.0
849,000001.SH,20030103,1319.868,1379.737,1379.753,1312.796,2876117400.0,18333204690.0
848,000001.SH,20030110,1384.859,1319.688,1411.374,1311.684,5870930000.0,36273698750.0
847,000001.SH,20030117,1478.675,1381.87,1492.723,1378.647,13278520000.0,80806277500.0
846,000001.SH,20030124,1479.07,1475.711,1489.551,1446.348,7842114300.0,46413824390.0
845,000001.SH,20030129,1499.815,1481.609,1508.588,1480.967,3784940000.0,25312640010.0
844,000001.SH,20030214,1510.95,1499.166,1519.29,1476.874,4694880000.0,33868359700.0
843,000001.SH,20030221,1478.871,1510.64,1517.766,1476.415,5256959800.0,35654258760.0
842,000001.SH,20030228,1511.932,1476.07,1524.751,1474.471,4812290000.0,33969178760.0
841,000001.SH,20030307,1493.093,1511.585,1529.752,1489.384,4589514200.0,35295990650.0
840,000001.SH,20030314,1466.044,1492.209,1496.164,1458.5,3333445900.0,24700517190.0
839,000001.SH,20030321,1474.657,1465.144,1478.995,1452.592,3718721000.0,26960298760.0
838,000001.SH,20030328,1491.941,1474.591,1508.263,1447.014,4898357400.0,36825310000.0
837,000001.SH,20030404,1521.128,1491.391,1525.769,1490.986,5787468100.0,43633717510.0
836,000001.SH,20030411,1576.86,1521.898,1581.699,1510.344,14409552700.0,88413999380.0
835,000001.SH,20030418,1603.077,1581.38,1649.603,1581.204,18926148600.0,135204401250.0
834,000001.SH,20030425,1487.147,1598.504,1598.583,1481.068,9507723100.0,66640440010.0
833,000001.SH,20030430,1521.444,1483.466,1539.573,1473.266,6810383200.0,50984951250.0
832,000001.SH,20030516,1554.452,1522.981,1560.724,1477.252,10800868000.0,77199885000.0
831,000001.SH,20030523,1560.955,1557.294,1571.689,1522.187,7202144000.0,52308433760.0
830,000001.SH,20030530,1576.261,1563.205,1581.612,1543.341,8590151200.0,64865223750.0
829,000001.SH,20030606,1538.92,1577.987,1582.412,1538.097,6860217700.0,50703853760.0
828,000001.SH,20030613,1566.766,1536.273,1572.413,1527.835,5594801900.0,37631599390.0
827,000001.SH,20030620,1529.47,1568.188,1569.547,1528.301,5614008500.0,34453574390.0
826,000001.SH,20030627,1497.054,1524.577,1524.909,1486.081,4862955400.0,31589616890.0
825,000001.SH,20030704,1502.349,1493.69,1510.172,1477.873,4238331900.0,28006800950.0
824,000001.SH,20030711,1528.854,1500.851,1535.975,1490.967,4589508100.0,34657041260.0
823,000001.SH,20030718,1507.162,1528.393,1540.194,1506.487,5405044100.0,38967928130.0
822,000001.SH,20030725,1477.651,1501.39,1510.308,1471.286,5306513400.0,36455457510.0
821,000001.SH,20030801,1476.969,1474.736,1483.067,1464.866,3392852100.0,23883017820.0
