,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1743,002405.SZ,20120104,11528,2307.75,10041,2013.67,11000,2205.98,11622,2330.67,2763,556.01,3628,725.4,0,0,0,0,-3364,-669.99
1742,002405.SZ,20120105,15044,2849.18,11550,2187.58,11109,2100.88,12039,2275.62,2226,428.49,4790,915.36,0,0,0,0,-2839,-524.07
1741,002405.SZ,20120106,8802,1599.54,6811,1242.51,6156,1121.24,7637,1387.45,1108,202.22,1617,293.04,0,0,0,0,-10,-0.34
1740,002405.SZ,20120109,9635,1815.25,9385,1771.76,8429,1592.9,8258,1558.43,2531,477.98,3703,698.38,750,142.44,0,0,3041,579.93
1739,002405.SZ,20120110,10764,2128.19,13156,2601.42,11372,2248.94,13013,2575.26,8126,1609.23,4093,809.69,0,0,0,0,-727,-140.09
1738,002405.SZ,20120111,16044,3273.72,14263,2915,14221,2905.9,17025,3475.1,5537,1134.15,5014,1026.86,499,103.19,0,0,2919,600.62
1737,002405.SZ,20120112,11225,2285.27,10513,2142.32,18036,3675.01,13848,2820.29,10505,2146.04,13578,2771.41,1225,250.97,3052,623.27,4899,1007.45
1736,002405.SZ,20120113,14416,2853.44,9598,1902.62,10703,2121.27,12069,2390.01,1863,365.36,5315,1047.46,0,0,0,0,-7211,-1422.2
1735,002405.SZ,20120116,12764,2369.22,6724,1253.49,8292,1537.72,9443,1752.49,1369,250.99,5514,1016.07,0,0,744,135.87,-4943,-914.4
1734,002405.SZ,20120117,14122,2613.88,10609,1972.31,10072,1859.94,12754,2351.52,9039,1674.69,9309,1718.25,0,0,562,106.44,5018,933.1
1733,002405.SZ,20120118,11577,2177.78,8513,1602.93,11114,2090.41,10989,2065.71,4466,836.37,6755,1270.32,0,0,900,165.6,-7136,-1345.54
1732,002405.SZ,20120119,10627,1949.07,6914,1270.24,9396,1722.4,10279,1884.4,5833,1071.53,8451,1549.61,0,0,211,38.75,423,87.81
1731,002405.SZ,20120120,7467,1389.82,8215,1530.97,10332,1923.36,8296,1543.5,4345,809.18,5079,944.6,0,0,554,103.28,1506,283.02
1730,002405.SZ,20120130,13373,2590.1,13637,2642.57,15087,2924.37,12823,2484.48,5706,1105.51,7706,1492.94,579,111.49,579,111.49,-2432,-468.28
1729,002405.SZ,20120131,11873,2236.47,6766,1276.17,10001,1884.97,15331,2888.07,2725,513.96,3559,669.18,1947,364.45,890,166.43,-5013,-938.3
