,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2366,399001.SZ,20100104,13533.537,13766.096,13782.805,13533.537,13699.97,-166.433,-1.2148,57487691.4,82279389.1052
2365,399001.SZ,20100105,13517.375,13539.825,13597.357,13324.555,13533.537,-16.162,-0.1194,71586121.93,102396239.2468
2364,399001.SZ,20100106,13505.184,13509.39,13677.403,13456.29,13517.375,-12.191,-0.0902,70141191.57,102885599.6474
2363,399001.SZ,20100107,13235.48,13514.636,13571.349,13148.253,13505.184,-269.704,-1.997,72858980.86,104255826.2437
2362,399001.SZ,20100108,13267.436,13180.895,13270.625,13040.343,13235.48,31.956,0.2414,58364551.97,83121832.1571
2361,399001.SZ,20100111,13161.09,13559.279,13606.227,13089.876,13267.436,-106.346,-0.8016,70086394.86,100191732.9119
2360,399001.SZ,20100112,13381.25,13187.393,13381.25,12993.228,13161.09,220.16,1.6728,77262403.42,114497223.6275
2359,399001.SZ,20100113,13016.557,13031.554,13227.964,12936.324,13381.25,-364.693,-2.7254,84261583.46,125462822.1997
2358,399001.SZ,20100114,13204.189,13037.804,13222.221,12965.786,13016.557,187.632,1.4415,82145621.21,119005748.1772
2357,399001.SZ,20100115,13264.372,13247.654,13320.395,13118.246,13204.189,60.183,0.4558,73664659.16,106094793.7553
2356,399001.SZ,20100118,13361.518,13234.109,13373.107,13175.933,13264.372,97.146,0.7324,75229925.65,107166679.9347
2355,399001.SZ,20100119,13350.671,13389.592,13433.057,13318.351,13361.518,-10.847,-0.0812,75154538.2,106741858.1343
2354,399001.SZ,20100120,12916.154,13375.529,13389.934,12871.581,13350.671,-434.517,-3.2546,90486122.14,129108774.4059
2353,399001.SZ,20100121,12917.154,12928.517,12982.883,12732.961,12916.154,1.0,0.0077,59852987.71,83515463.7291
2352,399001.SZ,20100122,12595.935,12756.921,12756.921,12394.068,12917.154,-321.219,-2.4868,68620934.87,95362751.4784
2351,399001.SZ,20100125,12470.188,12506.141,12640.732,12458.56,12595.935,-125.747,-0.9983,45004211.08,58663974.6013
2350,399001.SZ,20100126,12162.556,12496.107,12536.474,12091.086,12470.188,-307.632,-2.4669,52205481.26,70793206.3677
2349,399001.SZ,20100127,12046.779,12157.136,12233.115,11946.485,12162.556,-115.777,-0.9519,42553050.38,58934968.3969
2348,399001.SZ,20100128,12120.476,12008.962,12166.466,11903.993,12046.779,73.697,0.6118,41929676.4,58797396.9573
2347,399001.SZ,20100129,12137.204,12058.699,12339.063,11998.657,12120.476,16.728,0.138,50232290.4,68325810.2052
2346,399001.SZ,20100201,11989.107,12125.509,12126.263,11841.96,12137.204,-148.097,-1.2202,52881515.85,72834495.7323
2345,399001.SZ,20100202,11912.927,12035.931,12173.913,11912.927,11989.107,-76.18,-0.6354,46364330.84,62815854.0205
2344,399001.SZ,20100203,12262.567,11961.115,12262.567,11714.159,11912.927,349.64,2.935,60441693.58,79662957.2144
2343,399001.SZ,20100204,12169.479,12177.147,12283.517,12112.934,12262.567,-93.088,-0.7591,63558520.72,80899115.4821
2342,399001.SZ,20100205,11917.136,11892.313,12018.387,11823.069,12169.479,-252.343,-2.0736,65173555.7,82478043.9156
2341,399001.SZ,20100208,11947.336,11900.1,11997.663,11847.02,11917.136,30.2,0.2534,41490967.83,53138011.0267
2340,399001.SZ,20100209,11970.438,11935.801,12037.315,11900.283,11947.336,23.102,0.1934,37135800.82,46757557.513
2339,399001.SZ,20100210,12185.378,12082.997,12185.378,12051.164,11970.438,214.94,1.7956,33823700.11,47639178.0575
2338,399001.SZ,20100211,12224.6,12178.951,12297.408,12152.354,12185.378,39.222,0.3219,32941394.3,46997791.2544
2337,399001.SZ,20100212,12304.784,12259.472,12327.926,12241.61,12224.6,80.184,0.6559,31577469.29,46456952.4908
2336,399001.SZ,20100222,12213.544,12299.112,12337.768,12213.544,12304.784,-91.24,-0.7415,37522051.07,51860187.1216
2335,399001.SZ,20100223,12069.209,12185.935,12185.935,11922.728,12213.544,-144.335,-1.1818,45644697.34,61432218.4255
2334,399001.SZ,20100224,12282.093,11994.949,12282.093,11936.952,12069.209,212.884,1.7639,59538563.3,79631859.7852
2333,399001.SZ,20100225,12494.269,12324.943,12495.986,12324.943,12282.093,212.176,1.7275,71273205.91,97670786.3188
2332,399001.SZ,20100226,12436.655,12472.995,12527.016,12417.242,12494.269,-57.614,-0.4611,64400501.27,90144436.7183
2331,399001.SZ,20100301,12588.26,12480.811,12599.274,12454.032,12436.655,151.605,1.219,68953436.91,95365172.8122
2330,399001.SZ,20100302,12548.91,12595.321,12690.483,12517.275,12588.26,-39.35,-0.3126,71401206.27,97506408.62
2329,399001.SZ,20100303,12612.693,12544.024,12612.693,12444.197,12548.91,63.783,0.5083,74636779.36,102846680.2727
2328,399001.SZ,20100304,12312.889,12647.988,12720.357,12292.278,12612.693,-299.804,-2.377,83621342.87,114323888.4295
2327,399001.SZ,20100305,12341.739,12312.74,12433.567,12268.555,12312.889,28.85,0.2343,54870218.82,76702395.556
2326,399001.SZ,20100308,12437.567,12376.327,12470.869,12327.717,12341.739,95.828,0.7765,49709622.24,69570824.108
2325,399001.SZ,20100309,12507.657,12440.212,12569.56,12289.964,12437.567,70.09,0.5635,57221817.03,78262837.1713
2324,399001.SZ,20100310,12391.645,12496.775,12553.966,12363.412,12507.657,-116.012,-0.9275,51979239.47,71927448.1302
2323,399001.SZ,20100311,12367.687,12399.766,12468.935,12277.192,12391.645,-23.958,-0.1933,46976012.77,67576570.6239
2322,399001.SZ,20100312,12169.11,12364.569,12376.592,12167.34,12367.687,-198.577,-1.6056,45629352.7,68938322.062
2321,399001.SZ,20100315,11903.333,12154.531,12158.868,11866.993,12169.11,-265.777,-2.184,38042988.59,55612205.5608
2320,399001.SZ,20100316,11948.76,11931.321,11985.028,11835.619,11903.333,45.427,0.3816,35402324.32,51625182.2459
2319,399001.SZ,20100317,12233.774,12007.795,12233.774,11975.577,11948.76,285.014,2.3853,52430244.59,73373376.3075
2318,399001.SZ,20100318,12236.725,12257.846,12354.931,12198.08,12233.774,2.951,0.0241,55721111.42,79462548.2466
2317,399001.SZ,20100319,12352.919,12265.297,12361.212,12185.447,12236.725,116.194,0.9496,56105605.9,78936965.5654
2316,399001.SZ,20100322,12352.446,12358.032,12411.216,12304.497,12352.919,-0.473,-0.0038,57500218.61,79609117.6476
2315,399001.SZ,20100323,12304.981,12362.386,12400.253,12280.022,12352.446,-47.465,-0.3843,55998276.36,82420886.8298
2314,399001.SZ,20100324,12290.043,12315.614,12359.22,12260.482,12304.981,-14.938,-0.1214,58928133.22,89127664.6733
2313,399001.SZ,20100325,12086.899,12266.588,12266.588,12078.256,12290.043,-203.144,-1.6529,60623261.76,91142219.8279
2312,399001.SZ,20100326,12240.356,12081.113,12282.265,12030.432,12086.899,153.457,1.2696,50571830.26,77141180.3873
2311,399001.SZ,20100329,12552.449,12301.603,12574.878,12301.603,12240.356,312.093,2.5497,60933385.56,94197083.9589
2310,399001.SZ,20100330,12593.035,12574.805,12617.673,12527.579,12552.449,40.586,0.3233,56299136.64,88673360.3165
2309,399001.SZ,20100331,12494.35,12603.745,12611.435,12469.449,12593.035,-98.685,-0.7836,58991486.18,95930485.6614
2308,399001.SZ,20100401,12686.063,12512.405,12689.072,12512.405,12494.35,191.713,1.5344,76984046.64,119965754.4109
2307,399001.SZ,20100402,12767.856,12717.979,12793.71,12707.041,12686.063,81.793,0.6447,75312460.13,114263488.7681
2306,399001.SZ,20100406,12702.835,12824.148,12849.706,12651.11,12767.856,-65.021,-0.5093,71762750.89,109110947.5753
2305,399001.SZ,20100407,12631.971,12696.334,12696.334,12561.407,12702.835,-70.864,-0.5579,64710575.23,103461445.2731
2304,399001.SZ,20100408,12427.002,12603.246,12603.246,12381.381,12631.971,-204.969,-1.6226,71421863.81,115210609.4951
2303,399001.SZ,20100409,12555.123,12452.345,12555.123,12393.518,12427.002,128.121,1.031,68395515.74,110624675.5767
2302,399001.SZ,20100412,12399.2,12605.945,12625.766,12338.857,12555.123,-155.923,-1.2419,87350080.26,137107568.2418
2301,399001.SZ,20100413,12511.891,12387.394,12550.348,12261.271,12399.2,112.691,0.9089,93761063.41,154597161.9104
2300,399001.SZ,20100414,12557.695,12514.807,12557.695,12447.905,12511.891,45.804,0.3661,71659640.48,109379065.1677
2299,399001.SZ,20100415,12513.291,12561.534,12584.112,12422.315,12557.695,-44.404,-0.3536,73416723.12,111173321.9624
2298,399001.SZ,20100416,12416.86,12503.465,12508.522,12363.785,12513.291,-96.431,-0.7706,56118753.86,84293737.0731
2297,399001.SZ,20100419,11644.577,12248.022,12248.022,11641.597,12416.86,-772.283,-6.2196,80661823.8,116525438.0715
2296,399001.SZ,20100420,11538.976,11627.407,11713.905,11395.742,11644.577,-105.601,-0.9069,70535814.96,101893897.0053
2295,399001.SZ,20100421,11766.815,11557.604,11779.127,11501.956,11538.976,227.839,1.9745,80062141.08,125361463.6071
2294,399001.SZ,20100422,11703.962,11745.239,11822.805,11573.615,11766.815,-62.853,-0.5342,81183123.34,126490993.9549
2293,399001.SZ,20100423,11702.87,11681.965,11808.054,11638.025,11703.962,-1.092,-0.0093,74204580.47,117397632.1635
2292,399001.SZ,20100426,11602.634,11701.425,11767.664,11594.236,11702.87,-100.236,-0.8565,62540268.79,98852317.7545
2291,399001.SZ,20100427,11355.367,11565.993,11565.993,11179.502,11602.634,-247.267,-2.1311,68432915.18,103503195.6684
2290,399001.SZ,20100428,11333.847,11250.527,11444.582,11174.172,11355.367,-21.52,-0.1895,53064097.77,81871293.3439
2289,399001.SZ,20100429,11196.349,11402.998,11452.405,11195.219,11333.847,-137.498,-1.2132,57797639.62,87326987.9889
2288,399001.SZ,20100430,11162.537,11135.842,11192.377,10974.149,11196.349,-33.812,-0.302,56087095.15,83771603.7105
2287,399001.SZ,20100504,10960.771,10959.163,11139.156,10911.859,11162.537,-201.766,-1.8075,41038470.58,59974696.6659
2286,399001.SZ,20100505,11003.731,10853.13,11006.581,10671.893,10960.771,42.96,0.3919,53581498.51,78645937.7822
2285,399001.SZ,20100506,10422.564,10936.96,10936.96,10421.714,11003.731,-581.167,-5.2815,56919656.98,89217744.8004
2284,399001.SZ,20100507,10146.425,10184.793,10346.204,10091.321,10422.564,-276.139,-2.6494,53117306.29,80188958.9351
2283,399001.SZ,20100510,10264.045,10156.901,10314.023,10042.125,10146.425,117.62,1.1592,50259137.26,71563135.3429
2282,399001.SZ,20100511,10091.204,10486.272,10511.148,10083.795,10264.045,-172.841,-1.6839,51415184.37,72811640.9674
2281,399001.SZ,20100512,10146.632,10006.942,10202.563,9905.48,10091.204,55.428,0.5493,46290441.82,61550801.8995
2280,399001.SZ,20100513,10417.805,10161.181,10417.805,10114.684,10146.632,271.173,2.6725,47302781.34,61839791.5961
2279,399001.SZ,20100514,10330.141,10354.776,10400.279,10257.749,10417.805,-87.664,-0.8415,43461980.24,59613685.8786
2278,399001.SZ,20100517,9731.718,10168.15,10177.82,9728.671,10330.141,-598.423,-5.793,45689318.76,58629828.1392
2277,399001.SZ,20100518,10003.807,9719.072,10056.218,9627.424,9731.718,272.089,2.7959,50251938.65,62641838.939
2276,399001.SZ,20100519,9991.401,9904.752,10138.179,9818.896,10003.807,-12.406,-0.124,44694490.23,61232460.3353
2275,399001.SZ,20100520,9945.551,9917.534,10214.326,9903.108,9991.401,-45.85,-0.4589,42289560.33,57651476.1651
2274,399001.SZ,20100521,10209.069,9698.074,10209.243,9666.472,9945.551,263.518,2.6496,51856886.81,67620203.5741
2273,399001.SZ,20100524,10620.125,10296.192,10710.115,10296.192,10209.069,411.056,4.0264,70369004.63,95858433.8764
2272,399001.SZ,20100525,10365.225,10539.411,10545.538,10304.84,10620.125,-254.9,-2.4002,57871353.7,79952004.4974
2271,399001.SZ,20100526,10361.697,10353.401,10465.324,10286.379,10365.225,-3.528,-0.034,44557572.12,62908723.1143
2270,399001.SZ,20100527,10543.333,10342.185,10575.736,10199.11,10361.697,181.636,1.753,55841267.6,76679632.0652
2269,399001.SZ,20100528,10495.652,10636.862,10670.293,10447.155,10543.333,-47.681,-0.4522,58784676.02,84534512.8261
2268,399001.SZ,20100531,10204.174,10455.34,10553.242,10204.174,10495.652,-291.478,-2.7771,53391561.47,75070302.2787
2267,399001.SZ,20100601,10098.454,10123.669,10246.026,9970.048,10204.174,-105.72,-1.036,50577367.76,69079339.8066
2266,399001.SZ,20100602,10188.141,10062.749,10188.141,9950.534,10098.454,89.687,0.8881,41518836.23,56453324.2781
2265,399001.SZ,20100603,10118.039,10249.275,10317.974,10118.039,10188.141,-70.102,-0.6881,49658091.52,74050697.7771
2264,399001.SZ,20100604,10187.203,10086.051,10202.062,10055.32,10118.039,69.164,0.6836,42165265.31,58940406.1139
2263,399001.SZ,20100607,9992.674,9977.227,10083.267,9922.775,10187.203,-194.529,-1.9095,47368719.32,71523272.5401
2262,399001.SZ,20100608,10038.784,9981.744,10104.086,9944.47,9992.674,46.11,0.4614,47207216.74,70967228.9806
2261,399001.SZ,20100609,10346.27,10086.766,10358.591,10039.757,10038.784,307.486,3.063,63797161.26,89508015.6035
2260,399001.SZ,20100610,10222.218,10271.297,10337.121,10217.299,10346.27,-124.052,-1.199,64647078.49,85662044.3574
2259,399001.SZ,20100611,10239.333,10286.047,10357.005,10222.691,10222.218,17.115,0.1674,53693143.76,76620928.8418
2258,399001.SZ,20100617,10162.365,10300.497,10329.436,10162.365,10239.333,-76.968,-0.7517,42691602.16,64644204.3316
2257,399001.SZ,20100618,9966.538,10156.955,10234.407,9934.822,10162.365,-195.827,-1.927,50546162.25,70497629.1574
2256,399001.SZ,20100621,10309.605,9957.373,10323.182,9874.431,9966.538,343.067,3.4422,51141058.8,65091152.4349
2255,399001.SZ,20100622,10345.547,10268.728,10407.38,10242.136,10309.605,35.942,0.3486,48089319.63,60895119.8475
2254,399001.SZ,20100623,10256.266,10282.461,10374.33,10157.664,10345.547,-89.281,-0.863,45825457.78,61981357.0895
2253,399001.SZ,20100624,10250.901,10244.013,10343.567,10173.385,10256.266,-5.365,-0.0523,37060875.87,50281830.7439
2252,399001.SZ,20100625,10104.831,10195.896,10219.723,10037.939,10250.901,-146.07,-1.4249,39621430.0,53864775.8726
2251,399001.SZ,20100628,10012.055,10101.267,10165.574,9980.67,10104.831,-92.776,-0.9181,32392701.83,44082416.5355
2250,399001.SZ,20100629,9508.905,10022.8,10061.034,9508.587,10012.055,-503.15,-5.0254,49023658.28,62014874.254
2249,399001.SZ,20100630,9386.937,9428.164,9449.811,9335.565,9508.905,-121.968,-1.2827,37885573.16,46401478.3376
2248,399001.SZ,20100701,9203.909,9376.078,9439.738,9203.909,9386.937,-183.028,-1.9498,35601017.78,43711408.3057
2247,399001.SZ,20100702,9227.888,9192.103,9272.643,8945.204,9203.909,23.979,0.2605,44999260.35,55098219.5107
2246,399001.SZ,20100705,9171.029,9122.433,9237.073,8982.802,9227.888,-56.859,-0.6162,34050901.88,40304249.3714
2245,399001.SZ,20100706,9363.016,9128.182,9403.068,9122.018,9171.029,191.987,2.0934,42595022.18,52178700.3818
2244,399001.SZ,20100707,9485.43,9392.994,9485.43,9359.352,9363.016,122.414,1.3074,42080341.75,51358300.5641
2243,399001.SZ,20100708,9465.799,9528.264,9585.368,9436.399,9485.43,-19.631,-0.207,41093784.45,51883674.7924
2242,399001.SZ,20100709,9816.855,9480.287,9868.803,9399.508,9465.799,351.056,3.7087,58279992.61,72551050.4503
2241,399001.SZ,20100712,9959.218,9829.578,9999.986,9795.467,9816.855,142.363,1.4502,58666888.51,71391077.7379
2240,399001.SZ,20100713,9801.76,9850.347,9857.489,9733.698,9959.218,-157.458,-1.581,50832064.95,63843026.8718
2239,399001.SZ,20100714,9803.72,9813.314,9958.997,9759.332,9801.76,1.96,0.02,48980245.57,61730076.4023
2238,399001.SZ,20100715,9718.725,9793.974,9957.261,9709.044,9803.72,-84.995,-0.867,45176020.3,55095075.5343
2237,399001.SZ,20100716,9806.639,9677.78,9841.769,9599.972,9718.725,87.914,0.9046,38483697.45,48923190.3739
2236,399001.SZ,20100719,10097.104,9727.013,10154.357,9700.555,9806.639,290.465,2.9619,49159100.91,62201523.6694
2235,399001.SZ,20100720,10339.429,10095.204,10372.268,10095.204,10097.104,242.325,2.3999,72793184.78,92117350.5658
2234,399001.SZ,20100721,10324.126,10345.975,10433.405,10294.508,10339.429,-15.303,-0.148,69934664.53,89619688.756
2233,399001.SZ,20100722,10471.774,10302.345,10483.234,10284.505,10324.126,147.648,1.4301,61975932.17,76909836.3242
2232,399001.SZ,20100723,10527.945,10510.675,10587.027,10429.103,10471.774,56.171,0.5364,62915732.29,81707797.8221
2231,399001.SZ,20100726,10591.125,10555.689,10614.669,10449.516,10527.945,63.18,0.6001,61414528.16,78645941.5844
2230,399001.SZ,20100727,10566.207,10574.173,10631.166,10510.445,10591.125,-24.918,-0.2353,57375149.61,75935283.1012
2229,399001.SZ,20100728,10825.167,10567.151,10832.305,10526.951,10566.207,258.96,2.4508,78583528.72,99568358.4944
2228,399001.SZ,20100729,10838.91,10847.511,10899.433,10751.034,10825.167,13.743,0.127,83815650.31,102428629.7019
2227,399001.SZ,20100730,10785.346,10801.256,10836.284,10693.135,10838.91,-53.564,-0.4942,67272409.36,84999748.9219
2226,399001.SZ,20100802,11004.744,10789.066,11041.942,10786.562,10785.346,219.398,2.0342,74977616.95,97508871.2624
2225,399001.SZ,20100803,10830.699,11039.368,11091.177,10830.699,11004.744,-174.045,-1.5815,81885245.81,107259720.854
2224,399001.SZ,20100804,10870.382,10781.447,10870.947,10625.885,10830.699,39.683,0.3664,73004316.11,94609887.3027
2223,399001.SZ,20100805,10768.078,10862.046,10876.667,10701.676,10870.382,-102.304,-0.9411,73198021.35,97545427.0784
2222,399001.SZ,20100806,10942.933,10762.604,10949.24,10627.577,10768.078,174.855,1.6238,80990874.28,109595607.0191
