,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1868,600036.SH,20120104,54532,6449.95,35784,4255.43,108156,12811.56,110001,13046.98,173743,20638.54,160381,19050.47,186175,22170.26,216440,25717.43,-38417,-4509.43
1867,600036.SH,20120105,57596,6893.77,105324,12622.37,176279,21093.68,194031,23229.43,225610,26987.18,261248,31274.76,381361,45706.84,280245,33554.91,72525,8723.91
1866,600036.SH,20120106,45675,5459.02,43404,5195.31,112229,13410.01,109215,13059.97,192458,23005.81,227737,27210.14,190019,22754.67,160026,19164.1,-25373,-3000.47
1865,600036.SH,20120109,70317,8664.3,119868,14769.74,183223,22535.13,280628,34519.77,258738,31846.1,281837,34641.57,447743,55117.61,277687,34232.07,94964,11670.11
1864,600036.SH,20120110,51392,6404.97,103205,12910.36,206484,25754.29,256154,31978.71,241752,30153.82,227960,28462.4,392413,49093.46,304722,38055.06,47346,6044.11
1863,600036.SH,20120111,40357,5040.01,49631,6204.1,142397,17795.36,107859,13490.91,125415,15681.32,121641,15202.65,79702,9958.36,108740,13577.4,-25707,-3187.22
1862,600036.SH,20120112,33570,4226.08,56481,7127.47,83853,10554.2,121395,15303.27,144946,18250.73,161639,20337.29,151641,19146.43,74496,9409.4,62207,7853.27
1861,600036.SH,20120113,39456,4935.76,47309,5939.43,127032,15933.38,124440,15615.9,203855,25541.73,175159,21967.84,111208,13941.16,134643,16828.84,33827,4286.72
1860,600036.SH,20120116,26037,3242.88,30241,3771.06,92726,11554.96,80796,10078.3,101507,12662.57,109679,13680.54,115662,14433.29,115216,14363.79,-28402,-3530.67
1859,600036.SH,20120117,62695,7799.33,77425,9761.81,184549,23091.24,189090,23686.15,280895,35183.27,313725,39193.94,281375,35169.47,229274,28601.42,93333,11908.01
1858,600036.SH,20120118,59590,7486.26,37052,4661.97,172617,21708.53,158182,19911.02,175673,22090.48,169968,21375.1,206556,25944.39,249234,31281.58,-36574,-4587.53
1857,600036.SH,20120119,38177,4845.8,56382,7171.26,141305,17947.92,144579,18373.04,213532,27123.25,272177,34587.8,257589,32781.33,177465,22566.19,49990,6385.51
1856,600036.SH,20120120,40161,5175.73,112512,14533.77,114058,14697.18,179859,23197.4,153746,19810.59,168090,21654.39,432538,55774.88,280043,36072.83,123096,15992.6
1855,600036.SH,20120130,66702,8536.65,27238,3492.47,138820,17788.89,160426,20571.48,160207,20543.89,168175,21559.34,158055,20246.4,167945,21492.53,-130268,-16655.95
1854,600036.SH,20120131,43786,5534.75,27224,3445.34,87694,11102.22,71178,9018.05,102222,12949.92,108847,13787.65,71656,9072.24,98109,12408.09,-14619,-1824.5
1853,600036.SH,20120201,49112,6149.15,35161,4402.76,97250,12184.95,106822,13390.03,138676,17376.23,152269,19086.15,116248,14576.72,107034,13408.1,-75263,-9421.48
1852,600036.SH,20120202,59494,7522.16,64574,8202.3,124262,15776.84,171589,21787.64,233431,29591.03,195396,24775.02,169328,21523.55,154956,19648.64,44992,5762.1
1851,600036.SH,20120203,46811,6068.02,84558,10976.44,132682,17218.61,169828,22025.11,160770,20841.91,193751,25125.15,311126,40383.8,203252,26385.63,22177,2919.18
1850,600036.SH,20120206,57480,7397.72,31562,4070.39,132654,17086.68,117986,15201.31,174883,22526.84,180102,23198.28,195527,25134.42,230894,29675.68,-78798,-10094.19
1849,600036.SH,20120207,44381,5644.27,28916,3682.67,89205,11345.07,103058,13109.88,104765,13340.21,108611,13832.26,97119,12380.08,94885,12084.83,-44365,-5640.3
1848,600036.SH,20120208,31653,4075.96,66506,8579.41,133004,17171.61,131126,16926.37,117451,15174.85,142635,18399.69,155855,20084.91,97696,12601.86,31971,4172.3
1847,600036.SH,20120209,31816,4117.26,37907,4912.94,119488,15471.8,126794,16416.07,106506,13791.64,141483,18319.42,175989,22822.26,127617,16554.53,-1635,-181.03
1846,600036.SH,20120210,44782,5774.65,34672,4478.96,104510,13485.45,127717,16492.33,124973,16123.63,133720,17253.02,231122,29821.63,209279,26981.05,-53355,-6856.93
1845,600036.SH,20120213,60098,7636.46,31608,4028.2,162653,20748.29,177052,22606.05,176643,22517.7,150507,19181.49,170956,21795.45,211182,26882.16,-56537,-7160.43
1844,600036.SH,20120214,50523,6369.64,39454,4974.82,80451,10144.24,122808,15486.23,90840,11456.71,118968,15008.43,225453,28440.18,166038,20941.3,-102316,-12888.08
1843,600036.SH,20120215,48033,6090.85,33999,4320.8,92865,11787.28,92168,11705.35,142694,18108.13,147965,18777.06,201173,25529.02,210633,26712.08,5949,763.98
1842,600036.SH,20120216,45472,5759.44,43273,5483.74,93245,11811.72,143178,18144.85,125688,15925.59,147160,18652.48,221217,28042.24,152011,19257.93,-100862,-12726.92
1841,600036.SH,20120217,22419,2851.14,32237,4102.22,88425,11253.07,88203,11224.34,89070,11332.23,97414,12395.94,73985,9419.3,56044,7133.24,5744,746.65
1840,600036.SH,20120220,68636,8776.77,37321,4780.39,138516,17720.52,89690,11492.69,135196,17302.97,134613,17235.76,154195,19743.38,234919,30034.8,-26858,-3401.41
1839,600036.SH,20120221,34694,4417.06,29513,3763.48,97854,12463.18,81914,10442.05,106730,13592.1,110991,14143.11,149922,19108.39,166781,21232.09,-12331,-1555.17
1838,600036.SH,20120222,81148,10304.13,45251,5755.94,127362,16169.35,123578,15699.2,218139,27692.73,207460,26338.39,229204,29160.19,279565,35532.86,-81558,-10328.23
1837,600036.SH,20120223,76271,9692.63,37923,4822.76,159283,20249.77,169671,21580.02,242820,30868.59,211212,26856.32,177618,22581.36,237186,30133.27,-43381,-5499.22
1836,600036.SH,20120224,72952,9298.01,82497,10542.02,154548,19705.93,185025,23623.12,231107,29466.46,233976,29853.81,438017,55923.21,395127,50374.67,56274,7237.73
1835,600036.SH,20120227,93987,12110.01,80852,10432.67,201424,25953.93,156447,20178.77,249392,32153.96,247682,31948.28,334500,43165.87,394323,50824.06,-8618,-1080.76
1834,600036.SH,20120228,63582,8224.28,89658,11603.98,248657,32138.88,208184,26924.31,309558,40041.01,312308,40399.16,308807,39993.52,320456,41470.25,186039,24087.97
1833,600036.SH,20120229,45267,5843.72,46382,5988.95,113853,14690.63,120649,15576.9,124244,16034.67,171972,22198.33,236809,30567.29,181170,23372.13,-7124,-898.37
1832,600036.SH,20120301,25740,3325.25,39195,5067.71,53039,6851.4,77040,9957.19,85039,10985.82,102957,13308.91,118936,15379.88,63563,8208.54,4106,549.94
1831,600036.SH,20120302,44501,5776.32,74935,9744.47,93231,12105.84,170746,22186.13,150464,19534.61,158398,20566.38,318906,41461.2,203023,26380.99,84443,10972.1
1830,600036.SH,20120305,74785,9674.75,43799,5677.02,117880,15260.39,112698,14625.7,184337,23875.89,193384,25084.23,335038,43464.25,362162,46888.33,-125427,-16191.83
1829,600036.SH,20120306,107324,13574.42,53425,6765.42,227701,28861.45,163783,20763.33,221857,28084.42,236898,29976.92,221593,28074.47,324369,41089.1,-132284,-16707.88
1828,600036.SH,20120307,99239,12404.04,37282,4664.99,150598,18836.63,137916,17268.3,147606,18458.74,158333,19792.71,146923,18341.04,210835,26314.47,-119749,-14961.1
1827,600036.SH,20120308,92585,11544.68,37880,4729.55,132935,16575.52,116171,14499.93,151673,18918.67,211103,26339.83,136293,17016.96,148331,18486.52,-49716,-6169.21
1826,600036.SH,20120309,74486,9298.62,34453,4304.75,107190,13385.86,99398,12421.26,122859,15343.4,137948,17230.92,199328,24895.84,232062,28966.79,-57172,-7103.91
1825,600036.SH,20120312,135604,16754.09,52894,6535.75,186523,23056.13,140066,17335.42,190008,23488.49,172278,21303.21,196562,24286.1,343459,42410.44,-138832,-17159.73
1824,600036.SH,20120313,56509,7031.31,53671,6681.5,107208,13341.46,135822,16907.37,113425,14117.29,110374,13732.06,190034,23670.09,167310,20839.21,7727,950.64
1823,600036.SH,20120314,94747,11791.73,112917,14107.35,286911,35730.95,271634,33900.53,342796,42733.52,276279,34439.28,231460,28911.83,295084,36720.86,42963,5433.52
1822,600036.SH,20120315,80588,9931.87,67842,8387.72,219482,27124.62,160337,19834.68,174814,21603.83,174064,21511.98,99858,12305.34,172499,21231.28,-16807,-2001.98
1821,600036.SH,20120316,101803,12401.34,35643,4348.32,153651,18724.5,112915,13776.49,175269,21351.95,211098,25717.11,118951,14492.85,190017,23128.72,-32417,-3939.4
1820,600036.SH,20120319,86296,10458.97,38393,4657.69,142348,17259.28,163173,19795.2,155110,18811.55,170492,20680.02,159919,19389.46,171615,20786.37,-57999,-7009.32
1819,600036.SH,20120320,99233,11939.23,45135,5436.19,169627,20428.27,143670,17322.5,147326,17750.09,147466,17768.72,128402,15443.11,208316,25033.29,-86959,-10442.32
1818,600036.SH,20120321,71949,8631.67,40358,4843.73,164487,19736.14,161418,19367.71,131014,15729.79,111090,13338.77,77986,9360.18,132569,15907.57,-47410,-5671.61
1817,600036.SH,20120322,52075,6269.13,58302,7028.17,96772,11655.03,109037,13160.91,115109,13863.38,116668,14049.43,98929,11958.66,78878,9507.7,-9301,-1098.13
