,ts_code,trade_date,open,high,low,close,vol,amount,net_mf_vol,net_mf_amount
1868,600036.SH,20120104,8.5444,8.6517,8.3156,8.3442,522606.17,620703.189,-38417,-4509.43
1867,600036.SH,20120105,8.3657,8.6445,8.3442,8.5158,840847.02,1006814.678,72525,8723.91
1866,600036.SH,20120106,8.5301,8.6445,8.4729,8.573,540381.34,646295.13,-25373,-3000.47
1865,600036.SH,20120109,8.5659,8.9377,8.5087,8.8519,960020.09,1181631.414,94964,11670.11
1864,600036.SH,20120110,8.8519,9.0163,8.7446,8.9806,892045.62,1114071.706,47346,6044.11
1863,600036.SH,20120111,8.9806,9.0449,8.8733,8.9305,387870.32,484750.529,-25707,-3187.22
1862,600036.SH,20120112,8.9162,9.1164,8.8805,9.0235,414193.21,522004.928,62207,7853.27
1861,600036.SH,20120113,9.002,9.0878,8.8304,8.9305,481551.2,603520.214,33827,4286.72
1860,600036.SH,20120116,8.9162,8.9949,8.8447,8.859,335932.05,418936.947,-28402,-3530.67
1859,600036.SH,20120117,8.9019,9.1522,8.6874,9.1379,809513.94,1012433.208,93333,11908.01
1858,600036.SH,20120118,9.0807,9.1307,8.8876,8.952,614435.83,772296.685,-36574,-4587.53
1857,600036.SH,20120119,8.952,9.1736,8.9377,9.0807,650603.32,826982.921,49990,6385.51
1856,600036.SH,20120120,9.145,9.2952,9.0878,9.2952,740547.27,954640.989,123096,15992.6
1855,600036.SH,20120130,9.288,9.2952,9.0735,9.0807,523783.68,671158.256,-130268,-16655.95
1854,600036.SH,20120131,9.0807,9.145,8.9663,9.0449,305357.47,386591.229,-14619,-1824.5
1853,600036.SH,20120201,9.0378,9.0735,8.8876,8.9162,401286,502870.456,-75263,-9421.48
1852,600036.SH,20120202,8.9448,9.2094,8.8948,9.2022,586515.09,744135.901,44992,5762.1
1851,600036.SH,20120203,9.1736,9.3667,9.1236,9.2809,651388.94,845123.303,22177,2919.18
1850,600036.SH,20120206,9.288,9.3381,9.1021,9.1951,560545.81,721459.232,-78798,-10094.19
1849,600036.SH,20120207,9.1307,9.1879,9.0378,9.1021,335470.56,427096.303,-44365,-5640.3
1848,600036.SH,20120208,9.0807,9.3309,9.0664,9.288,437963.13,565073.307,31971,4172.3
1847,600036.SH,20120209,9.2809,9.3381,9.1879,9.288,433799.91,562029.588,-1635,-181.03
