date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017/3/27,3488.76,3505.98,3478.04,3474.52,107015376,-11.56,-0.33,3478.04,3478.04,3478.04,107015376,107015376,107015376
2017/3/28,3480.25,3482.29,3469.81,3461.47,84194824,-8.23,-0.24,3473.925,3473.925,3473.925,95605100,95605100,95605100
2017/3/29,3472.97,3483.06,3465.19,3455.55,104851704,-4.62,-0.13,3471.013,3471.013,3471.013,98687301.33,98687301.33,98687301.33
2017/3/30,3461.62,3467.3,3436.76,3422.37,116376928,-28.43,-0.82,3462.45,3462.45,3462.45,103109708,103109708,103109708
2017/3/31,3434.82,3456.31,3456.05,3430.82,91577488,19.29,0.56,3461.17,3461.17,3461.17,100803264,100803264,100803264
2017/4/5,3476.42,3504.54,3503.89,3475.15,143399008,47.84,1.38,3466.34,3468.29,3468.29,108079990.4,107902554.7,107902554.7
2017/4/6,3507.99,3517.78,3514.05,3495.72,136767008,10.16,0.29,3475.188,3474.827,3474.827,118594427.2,112026048,112026048
2017/4/7,3514.45,3526.82,3517.46,3506.39,140293200,3.41,0.1,3485.642,3480.156,3480.156,125682726.4,115559442,115559442
2017/4/10,3519.46,3522.8,3505.14,3502.08,141887376,-12.32,-0.35,3499.318,3482.932,3482.932,130784816,118484768,118484768
2017/4/11,3503.83,3520.13,3517.33,3466.14,165945840,12.19,0.35,3511.574,3486.372,3486.372,145658486.4,123230875.2,123230875.2
2017/4/12,3514.57,3523.1,3509.44,3498,181824528,-7.89,-0.22,3512.684,3489.512,3488.469,153343590.4,130711790.4,128557570.9
2017/4/13,3500.28,3518.44,3514.57,3496.57,129981808,5.13,0.15,3512.788,3493.988,3490.644,151986550.4,135290488.8,128676257.3
2017/4/14,3516.81,3517.47,3486.5,3476.95,135474080,-28.07,-0.8,3506.596,3496.119,3490.325,151022726.4,138352726.4,129199166.8
2017/4/17,3475.74,3480.57,3479.94,3453.68,117164960,-6.56,-0.19,3501.556,3500.437,3489.584,146078243.2,138431529.6,128339580.6
2017/4/18,3474.89,3489.08,3462.74,3462.63,110927824,-17.2,-0.49,3490.638,3501.106,3487.794,135074640,140366563.2,127178796.8
2017/4/19,3452.99,3459.35,3445.88,3418.51,121349264,-16.86,-0.49,3477.926,3495.305,3485.174,122979587.2,138161588.8,126814451
2017/4/20,3444.52,3465.61,3461.55,3440.72,114184216,15.67,0.46,3467.322,3490.055,3483.785,119820068.8,135903309.6,126071496
2017/4/21,3461.39,3475.56,3466.79,3449.54,104419112,5.24,0.15,3463.38,3484.988,3482.841,113609075.2,132315900.8,124868585.8
2017/4/24,3458.23,3458.23,3431.26,3403.98,114660792,-35.53,-1.02,3453.644,3477.6,3480.126,113108241.6,129593242.4,124331333.5
2017/4/25,3427.73,3449.67,3440.97,3422.65,94072144,9.71,0.28,3449.29,3469.964,3478.168,109737105.6,122405872.8,122818374
2017/4/26,3440.25,3466.57,3445.18,3439.15,111940024,4.21,0.12,3449.15,3463.538,3476.525,107855257.6,115417422.4,123064606.4
2017/4/27,3435.1,3449.27,3446.72,3399.54,123298424,1.54,0.04,3446.184,3456.753,3475.371,109678099.2,114749084,125019786.4
2017/4/28,3439.57,3439.9,3439.75,3417.24,101632352,-6.97,-0.2,3440.776,3452.078,3474.099,109120747.2,111364911.2,124858818.8
